uniprot_id,gene_name,protein_name,seq_length,embed_idx
A0A655AN00,ERS027646_04060,Conserved membrane protein of uncharacterized function,64,10219
A0A655AK02,eccB1_3,ESX conserved component EccB5,180,10220
A0A655ID14,ERS007741_00543,Conserved protein of uncharacterized function possible rep13e12 repeat protein,318,10221
A0A655J0T3,ERS007741_02214,CRISPR system Cms protein Csm4,118,10222
A0A655A5A8,ERS027659_02885,PII uridylyl-transferase,256,10223
A0A655ASJ4,cysS1,Cysteine--tRNA ligase,185,10224
A0A655EKY7,PE16,PE family protein,431,10225
A0A655HQV9,ERS007679_00494,Putative monooxygenase,141,10226
A0A655I277,ERS007720_00051,Uncharacterized protein,60,10227
A0A655IJM4,ERS007741_00995,Uncharacterized protein,184,10228
A0A655J4U5,ERS007741_02361,Uncharacterized protein,61,10229
A0A655J2U6,ERS007741_02338,Uncharacterized protein,119,10230
A0A655JEI2,ERS007720_03262,Cobyric acid synthase CobQ2,90,10231
A0A2I7W5Y1,CAB90_01384,Uncharacterized protein,251,10232
A0A2I7WBW6,CAB90_03583,Uncharacterized protein,56,10233
A0A2I7W4B5,CAB90_00767,Neutral ceramidase,99,10234
A0A2I7W685,CAB90_01510,Uncharacterized protein,90,10235
A0A2I7W8A7,lppI,Lipoprotein LppI,210,10236
A0A2I7WBU8,CAB90_03569,Transcriptional regulator,50,10237
A0A2I7W7V4,CAB90_02074,Uncharacterized protein,176,10238
A0A2I7W9H8,CAB90_02729,Transmembrane protein,158,10239
A0A2I7WDB5,CAB90_04108,Uncharacterized protein,327,10240
A0A0U0SD75,ERS007703_04022,4-amino-4-deoxychorismate lyase,125,10241
A0A0T9DZP1,ERS007703_02770,Uncharacterized protein,68,10242
A0A0U0QSJ4,ERS007703_01506,Uncharacterized protein,69,10243
A0A0U0SEN9,ERS007703_04147,Secreted protein,68,10244
A0A916LGF4,ERS007739_05006,Cyclase/dehydrase,117,10245
A0A916LIH9,ERS007739_05547,Uncharacterized protein,67,10246
A0A916P9N1,ERS007739_04534,Uncharacterized protein,60,10247
A0A916PCZ9,ERS007739_04006,Uncharacterized protein,66,10248
A0A2I7WDY7,PPE69,PPE family protein PPE69,79,10249
A0A654T9A4,moeB2,Molybdenum cofactor biosynthesis protein B,73,10250
A0A654U3L9,ERS007657_02289,Secreted protein,87,10251
A0A654TWW2,ERS007657_00585,Uncharacterized protein,60,10252
A0A655IY61,PPE_1,"Conserved protein of uncharacterized function, PPE family protein",110,10253
A0A654ZPS8,ERS027659_00927,ABC transporter ATP-binding protein,161,10254
A0A655AM87,ERS027659_04113,Uncharacterized protein,86,10255
A0A655ATX5,ERS027661_04864,Uncharacterized protein,95,10256
A0A655AWU7,ERS027646_04931,Uncharacterized protein,86,10257
A0A655IT60,ERS007741_01549,Methyltransferase,318,10258
A0A655J323,serC,Phosphoserine aminotransferase,89,10259
A0A655JA38,ERS007720_02947,S-adenosyl-L-methionine-dependent methyltransferase,206,10260
A0A655JME4,ERS007720_04103,Uncharacterized protein,79,10261
A0A0T7LS53,fixB,Electron transfer flavoprotein subunit alpha,103,10262
A0A654TM35,otsB1_1,Trehalose-phosphate phosphatase,155,10263
A0A654U097,ylbL,endopeptidase La,166,10264
A0A654U2K8,dfp,DNA/pantothenate metabolism flavoprotein,271,10265
A0A654U3G2,guaA,Glutamine amidotransferase,143,10266
A0A654ZUA8,ERS027661_00779,Uncharacterized protein,108,10267
A0A655AIA4,ERS027659_03649,Uncharacterized protein,50,10268
A0A655ALC7,aglA,Alpha-glucosidase,216,10269
A0A655ANF8,ERS027659_04572,Glycerol-3-phosphate acyltransferase,121,10270
A0A655JR33,ERS007720_04501,Uncharacterized protein,89,10271
A0A2I7W7M0,CAB90_01848,Uncharacterized protein,236,10272
A0A2I7WC65,pcd,Piperideine-6-carboxylic acid dehydrogenase,261,10273
A0A654ZYR5,gshA,Glutamate--cysteine ligase,79,10274
A0A655AB16,murG,UPD-N-acetylglucosamine-N-acetylmuramyl-(Pentapeptide) pyrophosphoryl-UDP-N-acet,289,10275
A0A655AC69,pepA_2,Probable cytosol aminopeptidase,404,10276
A0A655AN96,fadD34,Fatty-acid-CoA ligase,198,10277
A0A655AUZ8,thiE,Thiamine-phosphate pyrophosphorylase,119,10278
A0A655HLT8,ERS007679_00264,Methyltransferase/methylase,129,10279
A0A654ZUT4,ERS027646_00096,Uncharacterized protein,146,10280
A0A655AB44,calB,Aldehyde dehydrogenase (NAD+) dependant,153,10281
A0A655JJ18,ERS007741_03558,Uncharacterized protein,151,10282
A0A916LGH4,ERS007739_04358,Polyprenyl-diphosphate synthase GRCC1,56,10283
A0A654TXD5,plcB,Membrane-associated phospholipase C 2 plcB,138,10284
A0A654U8Q1,ERS007657_04668,Uncharacterized protein,73,10285
A0A654ZUI9,ERS027659_00952,Thioredoxin-like fold domain-containing protein,80,10286
A0A916L9F9,ERS007739_01144,Uncharacterized protein,66,10287
A0A916LBN1,ERS007739_02392,Uncharacterized protein,187,10288
A0A916LD54,ERS007739_03226,Uncharacterized protein,85,10289
A0A916LEG6,ERS007739_03745,Secreted protein,140,10290
A0A916P6Y2,ERS007739_00604,Uncharacterized protein,50,10291
A0A916P8B0,ERS007739_02624,Carboxylesterase LIPQ,118,10292
A0AAD2IRA0,ERS007718_00983,Uncharacterized protein,179,10293
A0A655AAH2,PPE61,PPE family protein,160,10294
A0A655AI87,ERS027661_03788,Transmembrane protein,167,10295
A0A655AS79,ERS027661_04522,Uncharacterized protein,90,10296
A0A655FX18,ERS007661_03700,"Conserved protein of uncharacterized function, possible double hotdog hydratase",171,10297
A0A655ICS4,ERS007720_00820,Uncharacterized protein,104,10298
A0A655JHY3,ERS007741_03470,Uncharacterized protein,208,10299
A0A655I1Y8,ERS007720_00146,Putative PPE family protein,442,10300
A0A916LHJ5,ERS007739_04997,Uncharacterized protein,54,10301
A0A916PA02,ERS007739_04993,Uncharacterized protein,55,10302
A0A0U0QS62,ERS007703_00992,Uncharacterized protein,76,10303
A0A0T9DL78,ERS007703_02882,Uncharacterized protein,62,10304
A0A0U0RHN6,ERS007703_02751,Uncharacterized protein,73,10305
A0A916LCU0,ERS007739_03119,Uncharacterized protein,51,10306
A0A916LB09,ERS007739_02205,Uncharacterized protein,50,10307
A0A916LCR1,ERS007739_02189,Uncharacterized protein,103,10308
A0A655FZD6,rpsI,30S ribosomal protein S9,96,10309
A0A655FKM7,ald,Alanine dehydrogenase,339,10310
A0A655HMS0,ERS007679_00152,Chalcone synthase,174,10311
A0A655IMV1,ERS007679_02979,"Hydrolase, nudix family protein",142,10312
A0A916LAY6,ERS007739_01981,Uncharacterized protein,95,10313
A0A916PA48,ERS007739_05249,Uncharacterized protein,106,10314
A0A916PG88,ERS007739_01304,"Bifunctional 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase/cyclase/dehydrase",130,10315
A0A654T674,PE1_1,PE family protein,335,10316
A0A654TDR7,citA_1,Citrate synthase,52,10317
A0A654U3T8,ERS007657_02952,S-adenosyl-L-methionine-dependent methyltransferase,200,10318
A0A654T7L3,cobN_3,Cobaltochelatase subunit CobN,175,10319
A0A655ADS5,PPE30_1,PPE family protein,193,10320
A0A655AP36,mbtB_2,Thioesterase TesA,237,10321
A0A655ASB8,ERS027646_03817,Uncharacterized protein,251,10322
A0A655F3D4,ERS007661_02452,Uroporphyrin-III C-methyltransferase HemD,257,10323
A0A655FZ86,ERS007661_04133,Uncharacterized protein,110,10324
A0A655ILR5,ERS007741_01159,Uncharacterized protein,52,10325
A0A655IXX5,cysS2,Cysteinyl-tRNA synthetase,51,10326
A0A655JF56,ERS007741_03238,Multidrug efflux pump Tap,212,10327
A0A655JRM1,ERS007720_04658,Uncharacterized protein,69,10328
A0A654ZY13,groEL,60 kDa chaperonin,434,10329
A0A655AP48,ptpA,Phosphotyrosine protein phosphatase,77,10330
A0A9P1LEK1,ERS053720_03832,Uncharacterized protein,94,10331
A0A0U0S3E1,pafA,Proteasome component,188,10332
A0A0U0RVQ9,ERS007703_03259,Uncharacterized protein,140,10333
A0A916LGT5,ERS007739_04868,Uncharacterized protein,96,10334
A0A916PAF8,ERS007739_05542,Uncharacterized protein,55,10335
A0A916L767,ERS007739_00021,Conserved CRISPR-associated protein of uncharacterized function Csm6,242,10336
A0A916LFQ1,ERS007739_04620,Uncharacterized protein,67,10337
A0A0U0R567,ERS007703_02033,Uncharacterized protein,125,10338
A0A0U0RFK3,amt,Putative ammonium-transport integral membrane protein AMT,328,10339
A0A0U0S8L2,ERS007703_03841,Uncharacterized protein,177,10340
A0A0U0S9L3,ERS007703_03865,Uncharacterized protein,130,10341
A0A0U0SDF6,ERS007703_04013,Uncharacterized protein,92,10342
A0A0U0SJT4,ERS007703_01858,Uncharacterized protein,63,10343
A0A2I7W3A5,pucB,Purine catabolism protein PucB,197,10344
A0A2I7W9J7,CAB90_02721,Uncharacterized protein,51,10345
A0A2I7W9S2,CAB90_02791,LuxR family transcriptional regulator,405,10346
A0A0U0UCJ4,ERS007703_01117,Uncharacterized protein,60,10347
A0A0U0S3W0,ERS007703_03733,Uncharacterized protein,99,10348
A0A0U0SYF1,amiA2,Amidase,122,10349
A0A916P906,ERS007739_03643,Uncharacterized protein,112,10350
A0A916PDU9,ERS007739_05679,Phosphoribose diphosphate:decaprenyl-phosphate phosphoribosyltransferase,72,10351
A0A2I7W3L6,PPE11,PPE family protein PPE11,72,10352
A0A2I7W9B2,CAB90_02473,pH-sensitive adenylate cyclase,263,10353
A0A2I7W9P6,CAB90_02784,Uncharacterized protein,230,10354
A0A654T8X3,ERS007681_01909,Uncharacterized protein,61,10355
A0A654U427,ERS007657_03093,Secreted protein,129,10356
A0A654U6Y2,ERS007657_04102,Uncharacterized protein,98,10357
A0A654ZSI3,ERS027659_00574,2-oxoadipate dioxygenase/decarboxylase,208,10358
A0A655JTQ9,metC,O-acetylhomoserine sulfhydrylase,98,10359
A0A655A9X2,glcB,Malate synthase G GlcB,463,10360
A0A655ALP1,ERS027659_04098,Transcriptional regulator,136,10361
A0A655AYE2,ERS027661_05057,Phosphatidylserine decarboxylase,59,10362
A0A655D7Q2,mbtG,Lysine-N-oxygenase,275,10363
A0A655FCZ4,ERS007661_02819,Uncharacterized protein,55,10364
A0A655J166,ligA_1,DNA ligase,612,10365
A0A655JE44,ERS007679_04293,Drugs-transport transmembrane ATP-binding protein ABC transporter,91,10366
A0A655JM53,ERS007720_04034,Uncharacterized protein,70,10367
A0A655A308,ERS027646_00488,Large protein containing transglutaminase-like domain,53,10368
A0A655F086,ERS007661_02303,Uncharacterized protein,472,10369
A0A655FK23,fadD16,Fatty-acid-CoA ligase,97,10370
A0A2I7WCZ2,CAB90_03806,Uncharacterized protein,64,10371
A0A2I7W5Y4,CAB90_01385,Transmembrane protein,106,10372
A0A2I7WDE0,CAB90_04146,Nucleoid-associated protein CAB90_04146,133,10373
A0A654U7H0,ERS007657_04333,Uncharacterized protein,64,10374
A0A654U804,ERS007657_04498,Exported repetitive protein PirG,101,10375
A0A655A400,fbiC,F420 biosynthesis protein FbiC,606,10376
A0A655AQU4,ERS027661_04559,Integral membrane protein,109,10377
A0A655FYS7,ERS007661_04018,"dTDP-glucose 4,6-dehydratase",107,10378
A0A655JQQ6,ERS007741_04339,Uncharacterized protein,141,10379
A0A916L7T4,ERS007739_00348,Uncharacterized protein,79,10380
A0A0U0T2Q6,ERS007703_04840,Uncharacterized protein,75,10381
A0A2I7W5V8,CAB90_01366,Cell division protein DivIVA,122,10382
A0A2I7W5X6,CAB90_01391,Uncharacterized protein,248,10383
A0A0U0QNF1,ERS007703_00735,Uncharacterized protein,75,10384
A0A0U0RX36,ERS007703_03327,Uncharacterized protein,110,10385
A0A0U0SZB4,metE_2,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase,268,10386
A0A0U0QTB5,ERS007703_01283,Uncharacterized protein,114,10387
A0A0U0QWX9,ybbN,Thioredoxin,200,10388
A0A0U0QP76,ERS007703_00679,Uncharacterized protein,83,10389
A0A0U0R0T7,groL2_2,60 kDa chaperonin 2 (Protein Cpn60 2) (GroEL),302,10390
A0A0U0T1B1,ERS007703_02303,Uncharacterized protein,63,10391
A0A2I7W3Z1,CAB90_00653,Uncharacterized protein,155,10392
A0A2I7W4K2,rcdA_2,HTH-type transcriptional regulator RcdA,207,10393
A0A2I7WA60,CAB90_02743,Uncharacterized protein,61,10394
A0A2I7WBQ7,nuoG,NADH-quinone oxidoreductase subunit G,222,10395
A0A2I7WC95,CAB90_03692,Uncharacterized protein,63,10396
A0A2I7WCA7,CAB90_03745,Uncharacterized protein,266,10397
A0A654T7F5,scoA_2,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit alpha,154,10398
A0A654TCX5,ERS007681_03465,PPE family protein,85,10399
A0A654TUY4,ERS007688_04694,Uncharacterized protein,66,10400
A0A654U5S0,ERS007657_03716,Phosphoribose diphosphate:decaprenyl-phosphate phosphoribosyltransferase,206,10401
A0A654ZRR7,ERS027659_00426,Phosphatidylethanolamine-binding protein,131,10402
A0A2I7W8Y4,CAB90_02511,Uncharacterized protein,165,10403
A0A655J204,ERS007741_02175,Adenylate cyclase,423,10404
A0A654TTV5,fadD18,Fatty-acid-CoA ligase,116,10405
A0A655AIG1,ugpE,Sn-glycerol-3-phosphate transport integral membrane protein ABC transporter UGPE,197,10406
A0A655EX72,ERS007661_02261,Arsenite-transporting ATPase,122,10407
A0A655IEU1,ERS007741_00728,Putative nucleic-acid-binding protein,69,10408
A0A655JLR1,ERS007741_03871,Transposase,79,10409
A0A655AH72,ERS027646_03285,Uncharacterized protein,150,10410
A0A655AS89,moaC2,Molybdenum cofactor biosynthesis protein C,64,10411
A0A654ZRK3,ERS027659_01302,Uncharacterized protein,75,10412
A0A655AGC7,ERS027646_03168,Short-chain type dehydrogenase/reductase,77,10413
A0A2I7W4M8,purL,Phosphoribosylformylglycinamidine synthase subunit PurL,616,10414
A0A2I7W641,CAB90_01448,DNA replication and repair protein RecF,202,10415
A0A655AB76,ERS027659_03035,Uncharacterized protein,159,10416
A0A655AYM3,yrrK,Holliday junction resolvase-like protein,60,10417
A0A655ENP4,ERS007661_01979,PE family protein,123,10418
A0A655JTG3,ERS007741_04818,PPE family protein,61,10419
A0A654T9M0,ERS007681_02272,ATPase AAA+ superfamily protein,217,10420
A0A655AA27,ERS027659_02796,Uncharacterized protein,354,10421
A0A655AGZ8,fprB,NADPH:adrenodoxin oxidoreductase,96,10422
A0A655ICM9,ERS007720_00889,PPE family protein,116,10423
A0A655JMN1,ERS007720_04066,Exported repetitive protein PirG,121,10424
A0A654TWX8,hemA,Glutamyl-tRNA reductase,76,10425
A0A655FXI0,entC,Isochorismate synthase,127,10426
A0A654TJY1,ERS007688_01297,Uncharacterized protein,89,10427
A0A654TS58,ERS007688_03440,Coenzyme A transferase,73,10428
A0A654TVN6,ERS007688_04705,Uncharacterized protein,113,10429
A0A655ARR8,ERS027659_05204,Uncharacterized protein,57,10430
A0A655AF78,yggS,Enzyme,80,10431
A0A655AZ79,ERS027659_05338,N-acetylglucosamine-6-phosphate deacetylase,50,10432
A0A655G0S5,ERS007661_04675,TobH protein,50,10433
A0A655J8I1,ERS007679_03930,Uncharacterized protein,64,10434
A0A655JA77,ERS007741_02819,Uncharacterized protein,183,10435
A0A655JTC8,ERS007720_05004,Alkylhydroperoxidase AhpD family core domain-containing protein,60,10436
A0A916LBU7,ERS007739_02528,Uncharacterized protein,92,10437
A0A916P6Q4,ERS007739_00374,Uncharacterized protein,134,10438
A0A916LFL6,ERS007739_04573,O-methyltransferase,70,10439
A0A916L8N7,ERS007739_00867,Uncharacterized protein,74,10440
A0A654U146,ERS007657_01346,Uncharacterized protein,183,10441
A0A655AE86,ERS027646_02040,von Willebrand factor type A,351,10442
A0A916LAP0,ERS007739_01909,Uncharacterized protein,203,10443
A0A916LBC3,ERS007739_02149,Uncharacterized protein,54,10444
A0A916LD84,ERS007739_03414,Secreted protein,82,10445
A0A916PC46,ERS007739_02762,Uncharacterized protein,129,10446
A0A916PGZ9,ERS007739_03538,Uncharacterized protein,52,10447
A0A0U0RNU7,ctpH_2,ATPase P,150,10448
A0A0U0RR77,ERS007703_03083,Uncharacterized protein,70,10449
A0A0U0R846,ERS007703_02233,Transposase,118,10450
A0A0U0RGR1,yfiH,Purine nucleoside phosphorylase,152,10451
A0A916PHI0,ERS007739_04980,Uncharacterized protein,65,10452
A0AA44LR81,A4S10_03670,PE family protein,1505,10453
A0A916L7K2,ERS007739_00222,Protein of uncharacterized function (DUF2786),171,10454
A0A916LB62,ERS007739_02319,Uncharacterized protein,75,10455
A0A916LDL2,mutT1,Hydrolase MUTT1,123,10456
A0A916P979,garA,Conserved protein of uncharacterized function with Fha domain,71,10457
A0A916PDG0,ERS007739_05530,Uncharacterized protein,52,10458
A0A2I7W3B2,CAB90_00417,Uncharacterized protein,197,10459
A0A2I7W616,CAB90_01434,Uncharacterized protein,138,10460
A0A2I7W9N5,CAB90_02786,Transposase,54,10461
A0A2I7W771,mpg,Putative 3-methyladenine DNA glycosylase,203,10462
A0A2I7W8M2,CAB90_02400,Uncharacterized protein,82,10463
A0A2I7WBJ3,CAB90_03272,Uncharacterized protein,96,10464
A0A0T9B9E5,ERS007703_00703,Secreted protein,83,10465
A0A0T9F944,ERS007703_03349,Uncharacterized protein,185,10466
A0A0U0SLN1,ERS007703_04412,Hypothetical alanine and valine and glycine rich protein,132,10467
A0A0U0QW85,ERS007703_01436,Uncharacterized protein,66,10468
A0A0U0RCC8,ERS007703_02459,Uncharacterized protein,90,10469
A0A2I7W4J9,CAB90_00742,Uncharacterized protein,109,10470
A0A2I7W5R2,lipX,Lipase LipX,76,10471
A0A2I7W643,argS,Arginine--tRNA ligase,581,10472
A0A2I7W6N0,CAB90_01648,Uncharacterized protein,102,10473
A0A2I7WAJ9,CAB90_03103,Uncharacterized protein,144,10474
A0A2I7WCG9,CAB90_03646,Uncharacterized protein,157,10475
A0A916LBH8,ERS007739_02509,Uncharacterized protein,150,10476
A0A916LFK8,ERS007739_04558,Macrolide-transport ATP-binding protein ABC transporter,62,10477
A0A654T5L7,ERS007681_00759,Uncharacterized protein,108,10478
A0A654T8Z3,ERS007681_01991,Sugar transferase,171,10479
A0A654TIS3,PPE46,PPE family protein,246,10480
A0A654TNR1,ERS007688_02475,Uncharacterized protein,180,10481
A0A654TS96,ERS007688_03759,Uncharacterized protein,223,10482
A0A654TZ01,ERS007657_01308,Uncharacterized protein,108,10483
A0A654TZM3,fadE22a,Acyl-CoA dehydrogenase,72,10484
A0A654U3B3,ERS007657_02780,Uncharacterized protein,89,10485
A0A654U6G4,ERS007657_03990,Uncharacterized protein,62,10486
A0A654TWG3,ERS007657_00354,Uncharacterized protein,115,10487
A0A654ZRI6,ERS027661_01122,Uncharacterized protein,71,10488
A0A655ANL2,ERS027646_04154,Uncharacterized protein,338,10489
A0A655J9G2,yedI_1,Integral membrane protein,152,10490
A0A654TEC1,ERS007681_03968,Uncharacterized protein,257,10491
A0A654ZUP2,ERS027661_01634,Uncharacterized protein,75,10492
A0A655I7S0,ERS007720_00473,Uncharacterized protein,107,10493
A0A655J0H9,ERS007720_02252,Uncharacterized protein,174,10494
A0A655ACW0,drrB,Daunorubicin-DIM-transport integral membrane protein ABC transporter DRRB,108,10495
A0A655ASP9,ERS027659_05272,Uncharacterized protein,58,10496
A0A655AT05,cydD,ABC transporter ATP-binding protein,59,10497
A0A655EVD7,ERS007661_02126,Uncharacterized protein,400,10498
A0A655HT79,ERS007679_00951,Uncharacterized protein,191,10499
A0A655IC62,ERS007741_00507,ATP-dependent DNA helicase,229,10500
A0A655IRX0,agpS_1,Alkyldihydroxyacetonephosphate synthase,232,10501
A0A654TVI2,espA,Hypothetical alanine and glycine rich protein,369,10502
A0A654U7P3,ERS007657_04179,Uncharacterized protein,64,10503
A0A655AVD8,ERS027659_05042,Uncharacterized protein,62,10504
A0A655A4F7,ERS027661_02491,Antitoxin of toxin-antitoxin stability system,54,10505
A0A655AQ64,ERS027646_04040,Uncharacterized protein,144,10506
A0A655CTX2,papA2_2,Polyketide synthase,142,10507
A0A655F5Q3,ERS007661_02560,Uncharacterized protein,100,10508
A0A655HNE0,ERS007679_00428,DUF222 domain-containing protein,128,10509
A0A655J1A6,ERS007679_03612,Uncharacterized protein,96,10510
A0A655J639,lysS_1,Lysine--tRNA ligase,487,10511
A0A655JTP0,ERS007720_05086,Uncharacterized protein,60,10512
A0A654TBD8,ERS007681_02383,Uncharacterized protein,204,10513
A0A654TNS2,pntB_2,NAD(P) transhydrogenase subunit beta,186,10514
A0A654U1V2,ERS007657_02330,Uncharacterized protein,112,10515
A0A655J394,ERS007679_03693,Uncharacterized protein,237,10516
A0A655JAU6,ERS007741_02862,Conserved exported protein of uncharacterized function,127,10517
A0A916L812,ERS007739_00493,Uncharacterized protein,95,10518
A0A916L8H4,ERS007739_00765,Uncharacterized protein,64,10519
A0A655FYG4,tuaD,UDP-glucose 6-dehydrogenase udgA,121,10520
A0A655IUS8,qorA_1,Quinone oxidoreductase,161,10521
A0A655JLD4,ERS007741_03819,Uncharacterized protein,247,10522
A0A654U2N3,hycP_1,Hydrogenase,71,10523
A0A654ZZH1,fdxB,Electron transfer protein FDXB,125,10524
A0A655AP99,ERS027661_04862,"Conserved protein of uncharacterized function with PIN domain, possible toxin",72,10525
A0A655FUE7,echA5,Enoyl-CoA hydratase,187,10526
A0A655FVX3,ERS007661_03809,Uncharacterized protein,186,10527
A0A655HNM6,tgs3_1,diacylglycerol O-acyltransferase,177,10528
A0A655JQV0,ERS007720_04548,Secreted protein,63,10529
A0A916LBU1,ERS007739_02497,Uncharacterized protein,112,10530
A0A916LG67,ERS007739_04856,Uncharacterized protein,75,10531
A0A916LG87,ERS007739_04869,Uncharacterized protein,58,10532
A0A9P1LFR5,ERS053720_04087,PE-PGRS family protein,435,10533
A0A0U0QS79,ERS007703_01180,Uncharacterized protein,51,10534
A0A0U0RNF0,ERS007703_02940,Uncharacterized protein,76,10535
A0A0U0R6C6,cysS1_1,Cysteine--tRNA ligase,316,10536
A0A0U0RZW8,ERS007703_03508,Uncharacterized protein,64,10537
A0A916LE42,ERS007739_03982,Uncharacterized protein,61,10538
A0A916LFL0,ERS007739_04425,Uncharacterized protein,69,10539
A0A2I7W331,CAB90_00277,Transposase,213,10540
A0A2I7W3N6,CAB90_00543,Uncharacterized protein,174,10541
A0A2I7WAL0,CAB90_03135,Uncharacterized protein,210,10542
A0A0U0QW79,ERS007703_01470,Uncharacterized protein,62,10543
A0A0U0TF68,ERS007703_05250,Uncharacterized protein,168,10544
A0A0U0THY3,ERS007703_05342,Uncharacterized protein,140,10545
A0A916P6G1,ERS007739_00026,Uncharacterized protein,140,10546
A0A2I7W9C0,CAB90_02663,Uncharacterized protein,458,10547
A0A0U0SQ98,ERS007703_04435,Uncharacterized protein,106,10548
A0A2I7W4F5,CAB90_00823,Uncharacterized protein,176,10549
A0A2I7W8M9,CAB90_02371,Uncharacterized protein,61,10550
A0A2I7WAS7,relG,Toxin RelG,87,10551
A0A2I7WBZ7,CAB90_03642,Uncharacterized protein,319,10552
A0A654U0I5,ERS007657_01759,Aminoglycoside phosphotransferase,133,10553
A0A655AV30,ERS027646_04576,Uncharacterized protein,176,10554
A0A655CD35,ERS007661_00032,Uncharacterized protein,293,10555
A0A655JSM6,ERS007741_04701,Epoxide hydrolase ephF,68,10556
A0A655FFR6,ERS007661_02954,Uncharacterized protein,258,10557
A0A655IWT6,sigG,RNA polymerase sigma factor,169,10558
A0A655JE15,ERS007741_03145,Uncharacterized protein,145,10559
A0A655JST4,ERS007720_04786,Uncharacterized protein,78,10560
A0A654ZYT2,pcp,Pyroglutamyl-peptidase I,121,10561
A0A654T7E9,ERS007681_01459,Uncharacterized protein,50,10562
A0A655A5D9,ERS027646_00990,Uncharacterized protein,87,10563
A0A655AQX9,ERS027659_04437,Uncharacterized protein,121,10564
A0A654U3E2,ybhF,ABC transporter ATP-binding protein,91,10565
A0A654ZRZ8,ERS027659_01005,Uncharacterized protein,274,10566
A0A2I7W415,hbhA,Heparin binding hemagglutinin HbhA,82,10567
A0A2I7W524,CAB90_01041,OmpA-like domain-containing protein,145,10568
A0A2I7W7H1,CAB90_01794,Membrane protein,125,10569
A0A2I7W8H5,fadE18,Acyl-CoA dehydrogenase FadE18,190,10570
A0A2I7W9Q5,CAB90_02795,Secreted protein,161,10571
A0A655ATB7,ERS027661_04817,PE family protein,80,10572
A0A655FML1,ERS007661_03232,Uncharacterized protein,72,10573
A0A655FTF2,ERS007661_03495,DNA-binding protein,120,10574
A0A655HL99,comM,Magnesium chelatase,204,10575
A0A655IQP1,ERS007679_03049,Uncharacterized protein,86,10576
A0A655JAL0,ERS007720_02984,Uncharacterized protein,159,10577
A0A655JDX4,ctpH,ATPase P,388,10578
A0A655ABJ4,ERS027646_02400,Uncharacterized protein,196,10579
A0A655FYJ3,ERS007661_04029,DNA protecting protein DprA,75,10580
A0A654U4B9,eccA1_3,ESX-1 secretion system protein EccA1,88,10581
A0A916LBF9,ERS007739_02254,Uncharacterized protein,194,10582
A0A916LBJ2,ERS007739_02116,Uncharacterized protein,108,10583
A0A916LFV2,ERS007739_04625,Uncharacterized protein,76,10584
A0A916L951,ERS007739_01064,Phosphoribosylformylglycinamidine synthase II,111,10585
A0A916LBT1,ERS007739_02675,Uncharacterized protein,125,10586
A0A916P9N0,ERS007739_04656,Uncharacterized protein,77,10587
A0A654U2C5,ERS007657_02437,Uncharacterized protein,89,10588
A0A916L994,ERS007739_01176,Uncharacterized protein,91,10589
A0A916PBN9,ERS007739_02612,Uncharacterized protein,87,10590
A0A916PGZ5,ERS007739_03493,Uncharacterized protein,76,10591
A0A655A2M2,yggS,Enzyme,138,10592
A0A655ASR4,ERS027646_04927,PPE family protein,86,10593
A0A655AW03,ERS027646_04807,Short chain dehydrogenase,76,10594
A0A655IVX8,carB_1,Carbamoyl phosphate synthase large subunit,391,10595
A0A655J0C0,ERS007741_02071,Uncharacterized protein,353,10596
A0A5R1ZCM8,ERS007741_00397,Uncharacterized protein,59,10597
A0A655HRF1,ERS007679_00583,Oxidoreductase,84,10598
A0A9P1LF25,ERS053720_04116,Uncharacterized protein,69,10599
A0A0U0QRW3,ERS007703_01030,Uncharacterized protein,222,10600
A0A0U0R8D4,ERS007703_02120,Acetyltransferase,95,10601
A0A916LGR1,ERS007739_05139,Uncharacterized protein,104,10602
A0A916LGG4,ERS007739_05000,Regulatory protein,135,10603
A0A916PDA7,ERS007739_04520,Uncharacterized protein,57,10604
A0A0U0SSM3,ERS007703_04613,Uncharacterized protein,94,10605
A0A0U0T0A4,ERS007703_04764,Export or membrane protein,102,10606
A0A0U0QX65,ERS007703_01578,Uncharacterized protein,109,10607
A0A0U0RP90,ERS007703_02970,Uncharacterized protein,75,10608
A0A0U0TFM4,ERS007703_05364,Uncharacterized protein,101,10609
A0A654T6R9,ERS007681_01106,Uncharacterized protein,129,10610
A0A654TIP1,acrA1,Multi-functional enzyme with acyl-CoA-reductase activity ACRA1,485,10611
A0A655AEQ0,ERS027661_03896,Uncharacterized protein,288,10612
A0A655AIC9,ERS027646_03417,Transmembrane alanine and glycine rich protein,203,10613
A0A655APJ8,betC,Putative hydrolase,438,10614
A0A655ASC4,PPE45,PPE family protein,184,10615
A0A655ACU6,ERS027646_02656,Uncharacterized protein,194,10616
A0A655AM74,ERS027661_04614,Oxidoreductase,82,10617
A0A655APW9,ERS027646_04375,Uncharacterized protein,55,10618
A0A655J4P8,ERS007720_02648,Uncharacterized protein,58,10619
A0A654TTE5,sigG,RNA polymerase sigma factor,128,10620
A0A654TZ57,ERS007657_01367,Short-chain dehydrogenase/reductase,133,10621
