uniprot_id,gene_name,protein_name,seq_length
A0A2I7W3W7,menD,"Bifunctional 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase/2-ox",281
A0A2I7W5S0,CAB90_01185,Uncharacterized protein,145
A0A2I7W8M1,CAB90_02391,Uncharacterized protein,86
A0A2I7WAX1,rpsP,Small ribosomal subunit protein bS16,162
A0A0U0T721,ERS007703_04981,Uncharacterized protein,123
A0A0U0QI14,ERS007703_00042,Uncharacterized protein conserved in bacteria (DUF2248),110
A0A0U0RKH5,ERS007703_02876,Uncharacterized protein,119
A0A0U0RMG8,ERS007703_02976,Uncharacterized protein,101
A0A0U0SS06,ERS007703_04496,Uncharacterized protein,182
A0A0U0SW67,ERS007703_04728,Uncharacterized protein,52
A0A654TJS2,ERS007681_04428,Uncharacterized protein,177
A0A2I7WAH1,CAB90_03093,Uncharacterized protein,78
A0A654TUW3,ERS007688_04632,Uncharacterized protein,77
A0A654U7A9,ERS007657_04273,Uncharacterized protein,50
A0A654U8I4,ERS007657_04612,Amidohydrolase,54
A0A2I7W4L9,CAB90_00894,Deacetylase,152
A0A655JNS1,ERS007741_04148,PPE family protein,289
A0A655JSG9,ERS007741_04635,Uncharacterized protein,102
A0A654ZT83,ERS027661_01433,Transmembrane protein,120
A0A655A5Y8,ERS027646_01695,Membrane protein of uncharacterized function,271
A0A655AQY1,ERS027659_05095,"Glycosyl hydrolase, family protein 57",123
A0A655ASK8,ERS027661_04610,Uncharacterized protein,96
A0A655AF47,ERS027659_03476,Uncharacterized protein,100
A0A655AJI4,ERS027659_04132,Uncharacterized protein,143
A0A916LBG0,ERS007739_02086,Uncharacterized protein,73
A0A916LFC5,ERS007739_04030,Uncharacterized protein,133
A0A654U1F4,ERS007657_02255,Uncharacterized protein,219
A0A655AK85,ERS027661_04456,Alpha/beta hydrolase of uncharacterized function (DUF1023),266
A0A655ALU7,dinG,ATP-dependent helicase DinG,414
A0A655AQZ7,ERS027646_03957,Uncharacterized protein,181
A0A655AXG0,ERS027661_05019,Uncharacterized protein,50
A0A655G0H5,arnB_2,TDP-4-oxo-6-deoxy-D-glucose transaminase,107
A0A655IAP1,sugC_2,Sugar ABC transporter ATP-binding protein,224
A0A655FXE7,ERS007661_03930,Membrane associated protein,72
A0A916LAF7,ERS007739_01842,Uncharacterized protein,72
A0A916LB48,ERS007739_02288,Uncharacterized protein,54
A0A916PBF5,ERS007739_01823,Transcriptional regulator,119
A0A654TXS5,ERS007657_00831,Uncharacterized protein,132
A0A654U1Z5,ERS007657_02312,Uncharacterized protein,91
A0A655ABY9,mce3R_1,TetR family transcriptional regulator,66
A0A655AL53,ERS027661_04139,Membrane protein,177
A0A655AXD2,ERS027659_05165,Ketosteroid isomerase-related protein,57
A0A655AKP1,ERS027646_03779,ceramidase,234
A0A655AVB2,ERS027646_04609,Transcriptional regulator,145
A0A655DTP3,ERS007661_01296,Uncharacterized protein,220
A0A655G041,ERS007661_04564,Uncharacterized protein,69
A0A655IXS5,ERS007741_01840,Protein containing vWA domain,177
A0A655JS62,ERS007741_04530,Uncharacterized protein,158
A0A655A4Z0,ERS027646_00996,Uncharacterized protein,139
A0A916LG53,ERS007739_04824,Fido domain-containing protein,116
A0A0U0QP53,ERS007703_00748,Cation efflux system protein,112
A0A0U0R9U9,ERS007703_02202,Uncharacterized protein,99
A0A0U0T896,ERS007703_05080,Uncharacterized protein,163
A0A2I7WCH9,CAB90_03788,Uncharacterized protein,52
A0A916LAY4,ERS007739_02132,Uncharacterized protein,58
A0A916LHS6,ERS007739_05177,Transmembrane protein,100
A0A916PGL4,ERS007739_02491,Uncharacterized protein,55
A0A2I7WDX5,CAB90_04348,Uncharacterized protein,75
A0A0T9FI23,ERS007703_04209,Uncharacterized protein,84
A0A2I7W2F1,CAB90_00068,Uncharacterized protein,105
A0A2I7W8D1,CAB90_02281,Uncharacterized protein,96
A0A2I7W8Y0,CAB90_02513,Uncharacterized protein,180
A0A916LBN8,ERS007739_02191,Thioredoxin,86
A0A655A631,ERS027659_02713,Uncharacterized protein,166
A0A655A8T7,gerE,Transcriptional regulator,454
A0A655AE78,ERS027659_03246,Uncharacterized protein,270
A0A655AR16,ERS027646_04642,Conserved membrane protein of uncharacterized function,207
A0A655AYT2,ERS027659_05279,Uncharacterized protein,71
A0A655FXH3,ERS007661_03946,Uncharacterized protein,209
A0A655IER3,ERS007720_01018,Uncharacterized protein,76
A0A655IP00,ERS007741_01367,LysR family transcriptional regulator,242
A0A0T7PV12,pgmA,Phosphoglucomutase PgmA,72
A0A2I7W711,CAB90_01792,Uncharacterized protein,255
A0A2I7W992,CAB90_02623,Uncharacterized protein,288
A0A2I7WA11,secD,Protein translocase subunit SecD,352
A0A2I7WB17,CAB90_03285,Uncharacterized protein,117
A0A654TK79,wbbL,"dTDP-rha:a-D-glcnac-diphosphoryl polyprenol, a-3-L-rhamnosyl transferase wbbL1",246
A0A654TZZ4,accD1_1,"Acetyl-/propionyl-CoA carboxylase, AccD1",99
A0A655A802,ERS027659_02903,"Conserved protein of uncharacterized function, alanine and proline rich protein",117
A0A655A8W4,ERS027659_03262,Biofilm regulator,287
A0A655AEA0,ERS027646_02129,Transmembrane protein,70
A0A655ALJ5,yheH,Multidrug ABC transporter ATP-binding protein,230
A0A655A1Z6,ERS027661_02463,"Cullin, a subunit of E3 ubiquitin ligase",243
A0A655AI09,ERS027661_03531,Uncharacterized protein,115
A0A655I218,ERS007720_00121,Uncharacterized protein,50
A0A655IXG0,ERS007741_01835,Conserved exported protein of uncharacterized function,186
A0A655IZC0,ftsH,Cell division protein FtsH,438
A0A655ANK2,ERS027659_04837,Uncharacterized protein,94
A0A655JQM5,ERS007720_04406,Uncharacterized protein,178
A0A916LEA9,ERS007739_03787,Uncharacterized protein,64
A0A916P905,ERS007739_03793,Uncharacterized protein,130
A0A916PH18,ERS007739_03691,Uncharacterized protein,101
A0A916LBA2,ERS007739_02375,Uncharacterized protein,210
A0A916LER2,ERS007739_04404,Uncharacterized protein,101
A0A916LD87,ERS007739_03085,Uncharacterized protein,80
A0A916P8L2,ERS007739_03228,Uncharacterized protein,62
A0A916LAH9,ERS007739_01873,Uncharacterized protein,60
A0A916LBX4,ERS007739_02389,Uncharacterized protein,100
A0A916LC58,ERS007739_02755,Uncharacterized protein,154
A0A916LCF6,ERS007739_02831,Uncharacterized protein,58
A0A916LEK2,ERS007739_03875,Uncharacterized protein,77
A0A916L7R6,ERS007739_00157,Uncharacterized protein,52
A0A916L9U1,ERS007739_01566,Uncharacterized protein,71
A0A916P7I9,menG,4-hydroxy-4-methyl-2-oxoglutarate aldolase,116
A0A654U3Q7,ERS007657_02751,Secreted protein,77
A0A654U8W6,TB11,Conserved protein of uncharacterized function TB11.2,53
A0A655AB71,ERS027661_03506,Uncharacterized protein,190
A0A655AFV7,ERS027661_03395,Uncharacterized protein,79
A0A655ARW7,ERS027659_05210,F0F1 ATP synthase subunit A,87
A0A655A7Z5,lprF,Lipoprotein LprF,93
A0A655AEK5,ERS027646_02524,PPE family protein [third part],697
A0A655J6X8,ERS007741_02474,Uncharacterized protein,252
A0A655JCV9,ERS007741_03035,Uncharacterized protein,111
A0A655JRM4,ERS007720_04655,Uncharacterized protein,82
A0A655J5X8,bphJ,Acetaldehyde dehydrogenase,70
A0A655JTC1,ERS007741_04700,Oxidoreductase,123
A0A654U2H4,ERS007657_02324,Hypothetical alanine rich protein,177
A0A654U3Z1,ERS007657_03004,Uncharacterized protein,88
A0A0U0TC13,ERS007703_05257,Uncharacterized protein,94
A0A0U0SRI7,ERS007703_04671,Uncharacterized protein,295
A0A2I7W4M0,CAB90_00900,YbjN domain-containing protein,157
A0A0U0QJ48,espE,ESX-1 secretion-associated protein EspE,121
A0A0U0SLF7,ERS007703_04343,Uncharacterized protein,78
A0A2I7W498,CAB90_00631,Uncharacterized protein,128
A0A2I7W7Z3,CAB90_02153,Uncharacterized protein,120
A0A2I7WBR3,CAB90_03551,Protein-glutamine gamma-glutamyltransferase-like C-terminal domain-containing pr,231
A0A2I7WBS6,CAB90_03557,Uncharacterized protein,210
A0A2I7WDZ2,CAB90_04373,DUF5631 domain-containing protein,107
A0A655CXN1,murI,Glutamate racemase,110
A0A655IKY8,ERS007741_01126,TIGR03089 family protein,100
A0AAD2KHI8,ERS007718_02400,"Peptidase, M50 family protein",76
A0A916L8Y0,ERS007739_00926,Uncharacterized protein,78
A0A916L8Z2,ERS007739_00885,Uncharacterized protein,59
A0A916L9A4,ERS007739_00912,Uncharacterized protein,174
A0A916L9K4,ERS007739_01300,Uncharacterized protein,58
A0A916LAE6,ERS007739_01829,Uncharacterized protein,64
A0A916PHD4,ERS007739_04629,Uncharacterized protein,50
A0A916PHJ6,ERS007739_05085,Transcriptional regulatory protein,65
A0A0U0U9C5,ERS007703_00469,Uncharacterized protein,73
A0A916LG89,ERS007739_05152,TetR family transcriptional regulator,52
A0A916PA25,ERS007739_05098,"Bifunctional 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase/cyclase/dehydrase",118
A0A2I7W686,CAB90_01511,Uncharacterized protein,57
A0A2I7W7E6,CAB90_01916,Uncharacterized protein,77
A0A2I7W3C1,CAB90_00420,Uncharacterized protein,239
A0A2I7W652,CAB90_01461,Uncharacterized protein,193
A0A2I7WC35,fbiB,Bifunctional F420 biosynthesis protein FbiB,456
A0A0U0R3F5,ERS007703_01892,Uncharacterized protein,80
A0A0U0U4J2,ERS007703_03152,Uncharacterized protein,109
A0A2I7W2Q7,CAB90_00207,DUF2786 domain-containing protein,292
A0A2I7W7J0,CAB90_01816,Uncharacterized protein,161
A0A2I7W9S6,CAB90_02815,Uncharacterized protein,180
A0A2I7WAG5,CAB90_03084,Uncharacterized protein,86
A0A654T3K7,ERS007681_00085,Conserved protein of uncharacterized function (Part2),90
A0A654T7F6,ERS007681_01360,Uncharacterized protein,63
A0A916L8F3,ERS007739_00599,Uncharacterized protein,64
A0A916LBQ3,ERS007739_02121,Uncharacterized protein,83
A0A655A9Q4,ERS027646_02181,Transcriptional regulator,84
A0A655AVV5,ERS027646_04348,Uncharacterized protein,85
A0A655JS20,ERS007720_04734,Uncharacterized protein,88
A0A655ABE4,eccCb1_3,Membrane protein,288
A0A655AEA1,ERS027659_03812,Putative iron-sulfur-binding reductase,169
A0A655AJD4,carB_2,Carbamoyl phosphate synthase large subunit,80
A0A655DAS7,ERS007661_00853,Uncharacterized protein,162
A0A655E6C1,ERS007661_01574,Conserved membrane protein of uncharacterized function,177
A0A655FLI6,ERS007661_03196,Uncharacterized protein,99
A0A655IPM7,betB,Aldehyde dehydrogenase,177
A0A655JTR4,fabH,3-oxoacyl-ACP synthase,117
A0A2I7W2Z8,CAB90_00237,Uncharacterized protein,154
A0A2I7W533,CAB90_01078,Uncharacterized protein,85
A0A2I7W5T0,CAB90_01329,MobA-like NTP transferase domain-containing protein,96
A0A2I7W939,CAB90_02388,Uncharacterized protein,192
A0A654TE44,aglA,Alpha-glucosidase,163
A0A654TEC2,ERS007681_03955,Uncharacterized protein,64
A0A654U601,secY,Preprotein translocase subunit SecY,70
A0A654U6I7,ERS007657_04152,Metallo phosphoesterase,149
A0A655AJN4,ERS027659_04447,Integral membrane protein,216
A0A655A9N0,ERS027646_01584,Uncharacterized protein,210
A0A655ACE2,ERS027659_03174,PPE family protein,115
A0A655ALQ9,plsB2,Glycerol-3-phosphate acyltransferase,209
A0A655FC35,ERS007661_02798,Membrane-anchored mycosin mycP1,150
A0A654TKK7,ERS007681_04691,Uncharacterized protein,88
A0A654U4J7,ERS007657_03431,Uncharacterized protein,70
A0A654ZT21,ERS027659_01490,Uncharacterized protein,274
A0A655A8D0,fusA_1,Translation elongation factor 2 (EF-2/EF-G),134
A0A655AMH8,ERS027646_04042,Transmembrane protein,81
A0A655ASG1,ERS027661_04763,Uncharacterized protein,76
A0A655ATG9,ERS027646_04334,Uncharacterized protein,213
A0A655IC06,ERS007741_00568,Uncharacterized protein,202
A0A916L7P7,ERS007739_00289,Uncharacterized protein,100
A0A916L8A5,ERS007739_00487,Transmembrane protein,143
A0A916PAY7,ERS007739_01531,Uncharacterized protein,100
A0A654TGM3,ERS007681_04192,Transposase,83
A0A654TQ16,ERS007688_02957,Acyltransferase,112
A0A654TSS4,lpdA_2,Flavoprotein disulfide reductase,179
A0A654TWW8,ERS007657_00630,Uncharacterized protein,55
A0A654U0L1,ERS007657_01902,Uncharacterized protein,72
A0A654TUW9,ERS007688_04657,Uncharacterized protein,83
A0A654ZWV0,ERS027646_00392,Uncharacterized protein,370
A0A654ZY26,ERS027646_00275,Uncharacterized protein,347
A0A654ZP80,ERS027661_00075,Oxidoreductase,237
A0A655A4X9,ERS027659_02591,Uncharacterized protein,278
A0A655ANX2,ERS027661_04375,Conserved membrane protein of uncharacterized function,138
A0A655AP97,lvr_3,Short-chain dehydrogenase/reductase,109
A0A655JRH1,ERS007741_04437,Uncharacterized protein,149
A0A2I7WDU0,CAB90_04315,Uncharacterized protein,110
A0A2I7W2B6,CAB90_00051,Hydrolase,130
A0A2I7WB58,CAB90_03332,Fatty acid kinase subunit A-like C-terminal domain-containing protein,201
A0A2I7WBH5,CAB90_03467,Uncharacterized protein,212
A0A655AUY6,ERS027659_05088,Transmembrane protein,60
A0A655AX42,lipA,Lipoate biosynthesis protein A,109
A0A655G139,ERS007661_04601,Uncharacterized protein,85
A0A655ISM0,purL,Phosphoribosylformylglycinamidine synthase subunit PurL,310
A0A655J6I0,ERS007679_03968,Enoyl-CoA hydratase,108
A0A654T5E4,ERS007681_00606,Uncharacterized protein,86
A0A654TJB6,bioF2,8-amino-7-oxononanoate synthase,69
A0A654TKF2,PPE_2,"Conserved protein of uncharacterized function, PPE family protein",376
A0A654TWX1,ERS007657_00386,Uncharacterized protein,286
A0A654U817,ERS007657_04554,Uncharacterized protein,52
A0A654ZX29,oppA_1,Peptide ABC transporter substrate-binding protein,392
A0A0T9BJN0,ERS027659_00425,Uncharacterized protein,245
A0A655A5P9,ERS027659_02510,Uncharacterized protein,97
A0A655AH98,oplA,5-oxoprolinase OplA (5-oxo-l-prolinase) (Pyroglutamase) (5-opase),235
A0A655AHX9,ERS027661_03751,Transmembrane protein,123
A0A655AX46,ERS027646_04985,Putative nuclease of the RecB family,74
A0A655AX84,ERS027646_04606,Uncharacterized protein,262
A0A655IU75,amt,Putative ammonium-transport integral membrane protein AMT,179
A0A655J2W2,ctpE_2,ATPase P,327
A0A655JAT4,ERS007741_02864,Uncharacterized protein,253
A0A654U7I6,ERS007657_04494,"Uracil-DNA glycosylase, family 4",82
A0A655DY39,ERS007661_01398,Uncharacterized protein,260
A0A655IIL1,ERS007679_02686,Uncharacterized protein,140
A0A655JRU9,ERS007741_04581,Alanine and proline rich membrane protein,192
A0A654T8Y5,ERS007681_02007,Transmembrane protein,52
A0A654T996,sppA_1,Endopeptidase IV,79
A0A654TP34,ERS007688_02487,Uncharacterized protein,133
A0A654TFW9,ERS007688_00372,Uncharacterized protein,144
A0A916L9T3,fadB2,Isocitrate lyase,89
A0A916LBJ1,ERS007739_02571,Uncharacterized protein,65
A0A916P9E2,ERS007739_04292,Integral membrane protein,61
A0A916PB91,ERS007739_01931,Uncharacterized protein,59
A0A916LB10,ERS007739_02213,Uncharacterized protein,68
A0A916LBD4,ERS007739_02448,Uncharacterized protein,59
A0A916LBM0,ERS007739_02406,Uncharacterized protein,59
A0A9P1LHT7,ERS053720_03599,Transcriptional regulator,264
A0A654T5M2,ERS007681_00824,Uncharacterized protein,273
A0A654TQ05,ERS007688_02928,Uncharacterized protein,142
A0A654ZZC0,ERS027661_01330,Uncharacterized protein,216
A0A655AJA7,ERS027659_04107,Uncharacterized protein,93
A0A655AMH6,serB2,Phosphoserine phosphatase,79
A0A655AZ48,ERS027646_05000,Conserved protein of uncharacterized function (Part2),74
A0A655DFG6,bioF2,8-amino-7-oxononanoate synthase,100
A0A655J209,ERS007679_03703,Protein of uncharacterized function (DUF1602),103
A0A655JSJ7,ERS007741_04600,PPE family protein,126
A0A655IQE2,rplI,50S ribosomal protein L9,58
A0A654TI72,zwf1_2,Glucose-6-phosphate 1-dehydrogenase,125
A0A654TPA3,treZ_1,Maltooligosyltrehalose trehalohydrolase TreZ,296
A0A654U4L4,ERS007657_03343,Nucleotide-binding protein,79
A0A654U667,canA,Beta-carbonic anhydrase,97
A0A654U757,ERS007657_04223,Uncharacterized protein,81
A0A654U8L9,ERS007657_04663,Oxidoreductase,61
A0A654ZRU5,gatA_1,Putative amidase,202
A0A655AQI1,mbtG,Lysine-N-oxygenase,61
A0A655JE14,secY,Preprotein translocase subunit SecY,143
A0A916PAM9,ERS007739_01092,Secreted protein,129
A0A916PBJ8,ERS007739_02416,Uncharacterized protein,76
A0A0U0THZ7,ERS007703_05344,Uncharacterized protein,53
A0A0U0TAR0,PPE,"Conserved protein of uncharacterized function, PPE family protein",51
A0A0U0RKG2,ERS007703_02278,Uncharacterized protein,63
A0A2I7W2G3,PPE1,PPE family protein PPE1,463
A0A2I7W6Z2,CAB90_01772,Transmembrane protein,193
A0A2I7W701,CAB90_01793,Uncharacterized protein,269
A0A2I7W7M3,PPE26,PPE family protein PPE26,276
A0A2I7W572,CAB90_01110,Uncharacterized protein,380
A0A2I7W4W2,CAB90_00995,DUF3071 domain-containing protein,253
A0A2I7WAB2,CAB90_02796,Uncharacterized protein,78
A0A2I7WB76,CAB90_03362,Uncharacterized protein,166
A0A2I7W4A3,CAB90_00757,Uncharacterized protein,61
A0A654TI02,ERS007688_00856,Isoniazid inducible protein iniB,153
A0A655ARB4,ERS027661_05001,Uncharacterized protein,73
A0A655ARQ6,ERS027661_04825,Uncharacterized protein,81
A0A655IRK2,ERS007720_01753,Uncharacterized protein,53
A0A655JQ64,kojP,Kojibiose phosphorylase,473
A0A654ZMN7,ERS027659_00460,Uncharacterized protein,217
A0A655JST8,pyrB,Aspartate carbamoyltransferase,87
A0A916P9T3,ERS007739_04718,Uncharacterized protein,88
A0A916PC19,ERS007739_03112,Uncharacterized protein,78
A0A916PC87,nrdR,Transcriptional repressor NrdR,172
A0A916PD89,ERS007739_05161,N-acetylmuramoyl-L-alanine amidase,56
A0A916PGL8,ERS007739_02521,Uncharacterized protein,70
A0A0U0THW9,ERS007703_05350,Uncharacterized protein,53
A0A916L9J9,ERS007739_01202,Uncharacterized protein,52
A0A916P8W7,ERS007739_03657,Uncharacterized protein,53
A0A916PD66,ERS007739_04339,Uncharacterized protein,113
A0A916LDB5,ERS007739_02493,Transposase,67
A0A916LEE7,ERS007739_03755,Uncharacterized protein,60
A0A0U0QVZ2,argS,arginine--tRNA ligase,265
A0A2I7W7L3,CAB90_01976,Uncharacterized protein,104
A0A2I7W8S9,CAB90_02468,Uncharacterized protein,92
A0A2I7WA17,CAB90_02895,Uncharacterized protein,84
A0A2I7WB78,CAB90_03354,Uncharacterized protein,125
A0A0U0R029,ERS007703_01634,Secreted protein,140
A0A0U0SK81,PPE62_1,PPE family protein,285
A0A0U0T187,ERS007703_04890,Uncharacterized protein,55
A0A2I7W470,CAB90_00743,Alpha-mannosidase,82
A0A2I7WBI1,CAB90_03413,Uncharacterized protein,99
A0A2I7WCJ8,CAB90_03828,Uncharacterized protein,83
A0A654U3D4,ERS007657_02819,Secreted protein,91
A0A654ZVL8,ERS027661_01032,Transposase,120
A0A654THG6,ERS007688_00647,Transglutaminase,53
A0A655A611,ERS027659_02983,Uncharacterized protein,282
A0A655AW52,ERS027646_04613,Methyltransferase domain protein,99
A0A655EUB8,ERS007661_02076,Uncharacterized protein,62
A0A655IG47,ERS007720_01115,Uncharacterized protein,174
A0A655IMQ2,ERS007720_01441,Uncharacterized protein,123
A0A655IRV9,ERS007679_03113,Uncharacterized protein,70
A0A655CMV3,dhbF,Peptide synthetase nrp,1443
A0A655EPB2,ERS007661_01975,Uncharacterized protein,81
A0A655IP13,ERS007741_01372,Uncharacterized protein,101
A0A655J6A5,ERS007679_03921,PhiRv2 phage protein,243
A0A655JMS3,ERS007720_04071,Uncharacterized protein,65
A0A2I7W6G6,CAB90_01585,Uncharacterized protein,207
A0A2I7W9Y4,CAB90_02883,Uncharacterized protein,168
A0A2I7WAU9,nusA,Transcription termination/antitermination protein NusA,489
A0A2I7WBB7,CAB90_03384,Cobalamin-independent synthase,173
A0A654TB89,ERS007681_02747,Uncharacterized protein,97
A0A654TLH4,aroA,3-phosphoshikimate 1-carboxyvinyltransferase AROA (5-enolpyruvylshikimate-3-phos,125
A0A654TM67,ERS007688_01490,Uncharacterized protein,156
A0A654TP40,mkl,Ribonucleotide ABC transporter ATP-binding protein,101
A0A655AHK5,ERS027661_03570,Uncharacterized protein,411
A0A655J1W2,ERS007720_02429,Uncharacterized protein,59
A0A916LGJ2,hmp,Hemoglobine-related protein HMP,66
A0A916P815,ERS007739_02184,Uncharacterized protein,102
A0A916L769,ERS007739_00040,Uncharacterized protein,61
A0A916LG98,ERS007739_04850,Uncharacterized protein,74
A0A916LGM3,ERS007739_05111,Uncharacterized protein,71
A0A916LHJ6,ERS007739_05367,Secreted protein,73
A0A654ZV24,cobS,Adenosylcobinamide-GDP ribazoletransferase,196
A0A655AA77,ERS027646_01347,Putative PPE family protein,167
A0A655AV29,ERS027646_04228,Mce associated membrane protein,117
A0A655HX80,ERS007679_01242,Uncharacterized protein,57
A0A655AKT4,ERS027659_04588,Transmembrane protein,122
A0A655AS30,aroE,Shikimate 5-dehydrogenase,112
A0A655EAV8,ERS007661_01671,Transcriptional regulator,360
A0A654TGK1,ERS007681_04234,PE PGRS family protein,91
A0A654TKU6,lppL,Lipoprotein LppL,63
A0A654TCI7,irtA,Iron import ATP-binding/permease protein IrtA (Iron-regulated transporter A),566
A0A654TQT3,ERS007688_03144,Transmembrane alanine and glycine rich protein,383
A0A654TXU1,ERS007657_00921,Uncharacterized protein,50
A0A655FYQ0,ERS007661_04260,Uncharacterized protein,98
A0A655JSA7,ERS007720_04784,Integral membrane protein,81
A0A9P1LGC0,ERS053720_03642,PE-PGRS family protein,1397
A0A655J8B0,ERS007720_02768,Uncharacterized protein,98
A0A655HRX7,eccA1_1,ESX-1 secretion system protein EccA1,86
A0A916L8P5,ERS007739_00803,Uncharacterized protein,52
A0A2I7W5Q4,ephC,Epoxide hydrolase EphC,162
A0A2I7WA91,mazE,Antitoxin MazE,218
A0A0T9ZMW3,ERS027646_03710,Uncharacterized protein,227
A0A655AIW0,PE16,PE family protein,208
A0A655FQU6,ERS007661_03389,Uncharacterized protein,66
A0A655I1W9,eccE1_3,ESX-1 secretion system protein EccE1,267
A0A655JQY8,ERS007720_04477,Uncharacterized protein,175
A0A655JU88,ERS007720_05121,Uncharacterized protein,67
A0A655A9M9,ERS027661_03356,Membrane protein,87
A0A655ACI0,ERS027661_03643,Uncharacterized protein,111
A0A655AUE0,ERS027659_05200,Uncharacterized protein,67
A0A655D307,glgE,Alpha-amylase,127
A0A655F406,ERS007661_02453,Uncharacterized protein,75
A0A655FUU5,ERS007661_03705,Uncharacterized protein,210
A0A655J007,ERS007741_02129,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase,228
A0A916LFE8,ERS007739_04769,Uncharacterized protein,118
A0A916P756,ERS007739_00860,PPE family protein,91
A0A916P841,ERS007739_02306,Transmembrane protein,260
A0A916P9J9,ERS007739_04533,Uncharacterized protein,87
A0A916LFB5,ERS007739_04299,Uncharacterized protein,51
A0A916LHU1,ERS007739_05583,Uncharacterized protein,54
A0A916LEC0,ERS007739_03053,Uncharacterized protein,55
A0A654T508,ERS007681_00519,Sugar phosphate isomerase/epimerase,70
A0A654U7D7,fbpB,"Esterase, antigen 85-B",67
A0A916LE12,ERS007739_03788,Lipoprotein,51
A0A916LGY2,ERS007739_05104,Uncharacterized protein,53
A0A916LHD1,ERS007739_04862,Transposase,106
A0A654TXS6,ERS007657_00832,Uncharacterized protein,56
A0A655JSH7,ERS007741_04678,Desaturase-like protein,209
A0A655AMR9,ERS027646_04107,Uncharacterized protein,241
A0A655AGS5,rplV,50S ribosomal protein L22,83
A0A655AHN5,apa,Alanine and proline-rich secreted protein Apa,197
A0A655J5I3,ERS007679_03908,Uncharacterized protein,65
A0A655AKL8,ERS027659_04507,Uncharacterized protein,192
A0A655APR8,ERS027659_04970,Uncharacterized protein,51
A0A655IR69,ERS007741_01519,Secreted protein,88
A0A655JRD2,ERS007741_04398,Uncharacterized protein,130
A0A654ZVH7,ERS027661_01499,ATPase AAA+ superfamily protein,347
A0A655A8V9,ERS027661_02762,2-nitropropane dioxygenase,156
A0A655AK89,ERS027659_04214,Uncharacterized protein,64
A0A655JK71,ERS007720_03857,Uncharacterized protein,79
A0A655JPZ6,ERS007720_04415,Transposase,69
A0A655A5B6,ERS027661_02880,UbiE/COQ5 family methlytransferase,108
A0A655AKH8,ERS027646_02811,Uncharacterized Actinobacterial protein,190
A0A655IM00,dfp_1,DNA/pantothenate metabolism flavoprotein,107
A0A655ARC9,ERS027661_04981,Uncharacterized protein,90
A0A655JCJ1,ERS007720_03143,Uncharacterized protein,242
A0A916L8S1,ERS007739_00807,Uncharacterized protein,80
A0A916LES4,ERS007739_04332,Uncharacterized protein,62
A0A916LI92,ERS007739_05317,Uncharacterized protein,92
A0A916P8M2,ERS007739_03079,Uncharacterized protein,169
A0A0U0QJP1,rocE,Amino acid ABC transporter,230
A0A0U0T4K8,ERS007703_04904,Secreted protein,77
A0A2I7W2M1,CAB90_00164,Uncharacterized protein,81
A0A2I7WAZ9,CAB90_03257,Uncharacterized protein,160
A0A0U0RHI7,amtB,Putative ammonium-transport integral membrane protein AMT,158
A0A0U0T1H3,ERS007703_04903,Uncharacterized protein,57
A0A655ASC7,ERS027661_04627,"Conserved protein of uncharacterized function, PPE family protein PPE24",204
A0A655AUD5,ERS027646_04440,Exported repetitive protein PirG,66
A0A916LCZ1,ERS007739_03102,Uncharacterized protein,96
A0A916P6J6,ERS007739_00057,Uncharacterized protein,100
A0A916P7N9,ERS007739_01619,Uncharacterized protein,57
A0A916P887,ERS007739_02519,Uncharacterized protein,286
A0A916PDF3,ERS007739_05481,Transmembrane protein,54
A0A0U0RT10,ERS007703_03150,SGNH/GDSL hydrolase family protein,165
A0A916LBF8,ERS007739_02285,Secreted protein,106
A0A916P865,ERS007739_02398,Uncharacterized protein,76
A0A916PA26,citE,Citrate lyase subunit beta,95
A0A0U0UFP6,ERS007703_02300,Acyl-CoA dehydrogenase,58
A0A0U0QVB1,ERS007703_01467,Uncharacterized protein,164
A0A0U0R132,ERS007703_01717,Uncharacterized protein,71
A0A0U0RA41,kasB,3-oxoacyl-ACP synthase,285
A0A0U0SZY4,rlmN,Ribosomal RNA large subunit methyltransferase N,97
A0A2I7W8F6,CAB90_02136,Uncharacterized protein,88
A0A2I7W3B5,CAB90_00433,Uncharacterized protein,138
A0A2I7W6Y3,CAB90_01771,Uncharacterized protein,106
A0A2I7W8I2,CAB90_02333,Uncharacterized protein,58
A0A2I7WA93,CAB90_02946,Uncharacterized protein,199
A0A2I7W5B0,gppA_2,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase",159
A0A654TVB4,ERS007688_04730,PE family protein,109
A0A654U0X2,fadD32,Fatty-acid-CoA ligase,374
A0A654U1F3,fusA2,Elongation factor G,449
A0A654U4G8,ERS007657_02574,Uncharacterized protein,165
A0A654U6D8,ERS007657_04099,Uncharacterized protein,62
A0A654TQV6,ERS007688_03148,Uncharacterized protein,87
A0A654U2D4,ERS007657_02516,Uncharacterized protein,114
A0A654U6G9,ERS007657_03942,Uncharacterized protein,83
A0A654U6K1,ERS007657_03963,PPE family protein,66
A0A655FW99,fabG4,3-oxoacyl-ACP reductase,67
A0A655F1C4,tcrA,Transcriptional regulator,180
